title,author,price,isbn,publishedDate,categoryName,stockQuantity,description,coverImageUrl
Unlocking Android,W. Frank Ableson,520,1933988673,04-01-2009,Open Source,31,"Android is an open source mobile phone platform based on the Linux operating system and developed by the Open Handset Alliance, a consortium of over 30 hardware, software and telecom companies that focus on open standards for mobile devices. Led by s...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/ableson.jpg
"Android in Action, Second Edition",W. Frank Ableson,350,1935182722,14-01-2011,Java,27,"When it comes to mobile apps, Android can do almost anything   and with this book, so can you! Android runs on mobile devices ranging from smart phones to tablets to countless special-purpose gadgets. It's the broadest mobile platform available.    A...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/ableson2.jpg
Specification by Example,Gojko Adzic,730,1617290084,06-03-2011,Software Engineering,17,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/adzic.jpg
Flex 3 in Action,Tariq Ahmed with Jon Hirschi,614,1933988746,02-02-2009,Internet,17,"New web applications require engaging user-friendly interfaces   and the cooler, the better. With Flex 3, web developers at any skill level can create high-quality, effective, and interactive Rich Internet Applications (RIAs) quickly and easily. Flex...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/ahmed.jpg
Flex 4 in Action,Tariq Ahmed,115,1935182420,15-11-2010,Internet,20,"Using Flex, you can create high-quality, effective, and interactive Rich Internet Applications (RIAs) quickly and easily. Flex removes the complexity barrier from RIA development by offering sophisticated tools and a straightforward programming langu...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/ahmed2.jpg
Collective Intelligence in Action,Satnam Alag,633,1933988312,10-01-2008,Internet,30,"There's a great deal of wisdom in a crowd, but how do you listen to a thousand people talking at once  Identifying the wants, needs, and knowledge of internet users can be like listening to a mob.    In the Web 2.0 era, leveraging the collective powe...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/alag.jpg
Zend Framework in Action,Rob Allen,716,1933988320,12-01-2008,Web Development,31,"From rather humble beginnings as the Personal Home Page scripting language, PHP has found its way into almost every server, corporation, and dev shop in the world. On an average day, somewhere between 500,000 and 2 million coders do something in PHP....",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/allen.jpg
Flex on Java,Bernerd Allmon,327,1933988797,15-10-2010,Internet,33,"In the demo, a hip designer, a sharply-dressed marketer, and a smiling, relaxed developer sip lattes and calmly discuss how Flex is going to make customers happy and shorten the workday   all while boosting the bottom line. The software systems they'...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/allmon.jpg
Griffon in Action,Andres Almiray,462,1935182234,06-04-2012,Java,20,"Although several options exist for interface development in Java, even popular UI toolkits like Swing have been notoriously complex and difficult to use. Griffon, an agile framework that uses Groovy to simplify Swing, makes UI development dramaticall...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/almiray.jpg
OSGi in Depth,Alexandre de Castro Alves,643,193518217X,12-12-2011,Java,12,"A good application framework greatly simplifies a developer's task by providing reusable code modules that solve common, tedious, or complex tasks. Writing a great framework requires an extraordinary set of skills-ranging from deep knowledge of a pro...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/alves.jpg
Flexible Rails,Peter Armstrong,702,1933988509,01-01-2008,Web Development,19,"Rails is a fantastic tool for web application development, but its Ajax-driven interfaces stop short of the richness you gain with a tool like Adobe Flex. Simply put, Flex is the most productive way to build the UI of rich Internet applications, and ...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/armstrong.jpg
Hello! Flex 4,Peter Armstrong,374,1933988762,11-01-2009,Internet,50,"With Flex 4 you can easily add color and life to your web applications by introducing dynamic user features, slick transitions, and eye-catching animations. Flex also provides powerful data handling capabilities so you can build industrial-strength a...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/armstrong3.jpg
Coffeehouse,Levi Asher,882,1884777384,07-01-1997,Miscellaneous,23,"Coffeehouse is an anthology of stories, poems and essays originally published on the World Wide Web. The purpose is to capture the zeitgeist of the web's creative community, and to give readers a chance to enjoy some of the best and most notable orig...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/asher.jpg
Team Foundation Server 2008 in Action,Jamil Azher,972,1933988592,12-01-2008,Microsoft .NET,19,"In complex software projects, managing the development process can be as critical to success as writing the code itself. A project may involve dozens of developers, managers, architects, testers, and customers, hundreds of builds, and thousands of op...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/azher.jpg
Brownfield Application Development in .NET,Kyle Baley,334,1933988711,16-04-2010,Microsoft,37,"It's easy to get excited about building a new software project from scratch. So-called ""greenfield"" projects often involve learning new technology and the opportunity for experimentation. Working on established software projects may seem less glamoro...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/baley.jpg
MongoDB in Action,Kyle Banker,780,1935182870,12-12-2011,Next Generation Databases,41,"MongoDB is a document-oriented database that's highly scalable and delivers very high-performance, especially with massive data sets that need to be spread across multiple servers. It blends the things you expect with any database   like indexing, qu...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/banker.jpg
